cellID,animalID,genoType,cellType,recordLayer,recordRegion,stimSource,stimChannel,conditionName,signal,samplerate,onset,risetime,slope,amplitude,onset2peakTime,halfwidth,decay,slope2ms,slope3ms,area,test1DrugName,waveformSequence,
BJ0490,AV0108,WT,PYR,L2,ACC,MD,CsChR,BASEENK,IPSC,10000,1.9,0.6,228.1424,136.278,4.8,3.3,4,26.9554,26.9554,111.3989,NaN,NaN,
BJ0490,AV0108,WT,PYR,L2,ACC,MD,CsChR,BASEENK,EPSC,10000,3.6,1,-94.5223,-167.6538,3.9,13.6,15.8,-13.0722,-13.0722,-2667.1717,NaN,NaN,
BJ0490,AV0108,WT,PYR,L2,ACC,MD,CsChR,ENK,EPSC,10000,3.9,1.4,-35.1713,-82.6815,4.3,14.1,18.1,-3.9898,-3.9898,-1392.212,NaN,NaN,
BJ0490,AV0108,WT,PYR,L2,ACC,MD,CsChR,ENK,IPSC,10000,4.2,1.9,-13.9993,-43.6499,5,18,18.5,-2.076,-2.076,-828.2229,NaN,NaN,
BJ0490,AV0108,WT,PYR,L2,ACC,MD,CsChR,ENKWASH,EPSC,10000,3.7,1.9,-17.482,-57.345,4.7,14.1,19.6,-2.9194,-2.9194,-928.4302,NaN,NaN,
BJ0501,AV0107,WT,PYR,L2,ACC,MD,CsChR,BASEENK,IPSC,10000,5.6,0.5,289.2111,232.9536,1.2,7.6,17.6,39.8979,39.8979,225.5946,NaN,NaN,
BJ0501,AV0107,WT,PYR,L2,ACC,MD,CsChR,BASEENK,EPSC,10000,4.1,1.1,-67.0568,-126.9091,4,12.3,15,-8.0769,-8.0769,-1851.7305,NaN,NaN,
BJ0501,AV0107,WT,PYR,L2,ACC,MD,CsChR,ENK,EPSC,10000,4.3,2.1,-19.1535,-66.0125,5.2,12.4,14.6,-2.6274,-2.6274,-937.6169,NaN,NaN,
BJ0501,AV0107,WT,PYR,L2,ACC,MD,CsChR,ENK,IPSC,10000,4.3,2.5,-7.8109,-32.728,4.3,21.5,18.6,-1.557,-1.557,-688.7456,NaN,NaN,
BJ0501,AV0107,WT,PYR,L2,ACC,MD,CsChR,ENKNALOX,EPSC,10000,4.1,1.2,-56.3328,-110.9932,3.8,11.9,15.8,-6.747,-6.747,-1525.8383,NaN,NaN,
BJ0501,AV0107,WT,PYR,L2,ACC,MD,CsChR,ENKNALOX,IPSC,10000,5.6,0.6,138.7236,133.8577,1.3,8.5,15.1,18.7812,18.7812,127.7075,NaN,NaN,
BJ0503,AV0107,WT,PYR,L2,ACC,MD,CsChR,BASEENK,IPSC,10000,2.5,0.7,190.546,180.035,4.9,14.8,33,24.7497,24.7497,195.0087,NaN,NaN,
BJ0503,AV0107,WT,PYR,L2,ACC,MD,CsChR,BASEENK,EPSC,10000,3.5,1.5,-142.5079,-347.9806,3.3,8.8,9.3,-18.1973,-18.1973,-3426.9191,NaN,NaN,
BJ0503,AV0107,WT,PYR,L2,ACC,MD,CsChR,ENK,EPSC,10000,3.3,1.5,-107.9081,-272.4754,4,10.5,10.2,-15.0509,-15.0509,-3085.5234,NaN,NaN,
BJ0503,AV0107,WT,PYR,L2,ACC,MD,CsChR,ENK,IPSC,10000,3.1,0.9,-44.0427,-63.6794,1.6,3.4,2.4,-5.2224,-5.2224,-198.0682,NaN,NaN,
BJ0503,AV0107,WT,PYR,L2,ACC,MD,CsChR,ENKNALOX,EPSC,10000,3.5,1.6,-154.8882,-422.8171,3.5,8.6,9,-19.3651,-19.3651,-4083.9674,NaN,NaN,
BJ0503,AV0107,WT,PYR,L2,ACC,MD,CsChR,ENKNALOX,IPSC,10000,2.1,0.6,104.7725,35.0247,15.5,27.2,24.3,13.1047,13.1047,283.1065,NaN,NaN,
BJ0505,AV0107,WT,PYR,L2,ACC,MD,CsChR,BASEENK,IPSC,10000,1.5,0.5,422.8528,339.767,5.2,7.6,14.2,54.2027,54.2027,482.1266,NaN,NaN,
BJ0505,AV0107,WT,PYR,L2,ACC,MD,CsChR,BASEENK,EPSC,10000,4.3,1.4,-60.5188,-137.1437,3.3,9.9,12.4,-8.3688,-8.3688,-1613.0926,NaN,NaN,
