"","cellID","circuit","animalID","AUC","baseStart","baseEnd","signalStart","signalEnd"
"1","BJ0490","MD_L2_PYR","AV0108",1.98723303525,841,1000,1036,1195
"2","BJ0501","MD_L2_PYR","AV0107",1.38685860623,841,1000,1036,1195
"3","BJ0503","MD_L2_PYR","AV0107",3.20028968321,841,1000,1036,1195
"4","BJ0505","MD_L2_PYR","AV0107",1.3004568743,841,1000,1036,1195
"5","BJ0580","MD_L2_PYR","AV0110",2.35549063056,841,1000,1036,1195
"6","BJ0513","MD_L2_PYR","AV0110",3.05410923204,841,1000,1036,1195
"7","BJ0514","MD_L2_PYR","AV0110",2.21938974009,841,1000,1036,1195
"8","BJ0557","MD_L2_PYR","Will20160411",2.09250834767,841,1000,1036,1195
"9","BJ0562","MD_L2_PYR","Will20160411",0.91079756092,841,1000,1036,1195
"10","BJ0565","MD_L2_PYR","Will20160411",3.47789884505,841,1000,1036,1195
"11","BJ0576","MD_L2_PYR","Will20160504",1.5695377537,841,1000,1036,1195
"12","BJ0622","MD_L2_PYR","Will20160608",1.35196124676,841,1000,1036,1195
"13","BJ0625","MD_L2_PYR","Will20160608",3.48050100964,841,1000,1036,1195
"14","BJ0672","MD_L2_PYR","Will20160810",0.7632499679,841,1000,1036,1195
"15","BJ0492","MD_L5_PYR","AV0108",0.48874920976,834,1000,1044,1210
"16","BJ0507","MD_L5_PYR","AV0107",1.47183337455,834,1000,1044,1210
"17","BJ0579","MD_L5_PYR","Will20160504",1.28656788973,834,1000,1044,1210
"18","BJ0873","MD_L5_PYR","Will20160811",2.47037712718,834,1000,1044,1210
"19","BJ0876","MD_L5_PYR","Will20160811",3.54273197255,834,1000,1044,1210
"20","BJ0877","MD_L5_PYR","Will20160811",2.02896041908,834,1000,1044,1210
"21","BJ1084","MD_L5_PYR","AV0220",7.03387277421,834,1000,1044,1210
"22","BJ1145","MD_L5_PYR","Will20170207",6.53433328223,834,1000,1044,1210
"23","BJ1146","MD_L5_PYR","Will20170207",3.82969574,834,1000,1044,1210
"24","BJ1148","MD_L5_PYR","Will20170207",6.3900416029,834,1000,1044,1210
"25","BJ1155","MD_L5_PYR","Will20170208",8.03447979319999,834,1000,1044,1210
"26","BJ1157","MD_L5_PYR","Will20170208",2.7947924335,834,1000,1044,1210
"27","BJ1159","MD_L5_PYR","Will20170208",4.34592310191,834,1000,1044,1210
"28","BJ1310","MD_L5_PYR","Will20170405",2.1117615231,834,1000,1044,1210
"29","BJ1258A1","MD_L5_PYR","Will20170308",1.30772004714,834,1000,1044,1210
"30","BJ1259A2","MD_L5_PYR","Will20170308",0.96558101265,834,1000,1044,1210
"31","BJ1337","MD_L5_PYR","Will20170530",3.70480187606,834,1000,1044,1210
"32","BJ1338","MD_L5_PYR","Will20170530",4.91014169629,834,1000,1044,1210
"33","BJ1340","MD_L5_PYR","Will20170531",0.40055876609,834,1000,1044,1210
"34","BJ1344","MD_L5_PYR","Will20170531",0.459983801,834,1000,1044,1210
"35","BJ1348","MD_L5_PYR","Will20170605",5.41784520678,834,1000,1044,1210
"36","BJ1353","MD_L5_PYR","Will20170606",2.85911728179,834,1000,1044,1210
"37","BJ1410","MD_L5_PYR","Will20170712",4.51252430726,834,1000,1044,1210
"38","BJ1414","MD_L5_PYR","Will20170712",0.80902229034,834,1000,1044,1210
"39","BJ1416","MD_L5_PYR","Will20170712",1.77787613603,834,1000,1044,1210
"40","BJ1418","MD_DMS_MSN","Will20170713",4.11379011986,934,1000,1030,1096
"41","BJ1419","MD_L5_PYR","Will20170713",5.19328856639,834,1000,1044,1210
"42","BJ1420","MD_DMS_MSN","Will20170713",2.29294830665,934,1000,1030,1096
"43","BJ1421","MD_L5_PYR","Will20170713",4.84811785407,834,1000,1044,1210
"44","BJ1426","MD_L5_PYR","Will20170724",1.5669103125,834,1000,1044,1210
"45","BJ1452","MD_L5_PYR","Will20170809",2.22559216216,834,1000,1044,1210
"46","BJ1475","MD_L5_PYR","Will20170816",0.81345201708,834,1000,1044,1210
"47","BJ1476","MD_L2_PYR","Will20170816",1.54711837347,841,1000,1036,1195
"48","BJ1480","MD_L2_PYR","Will20170816",1.16208293696,841,1000,1036,1195
"49","BJ1493","MD_L2_PYR","Will20170823",0.42403572442,841,1000,1036,1195
"50","BJ1495","MD_L2_PYR","Will20170823",1.53072976812,841,1000,1036,1195
"51","BJ1499","MD_L2_PYR","Will20170830",0.96444358789,841,1000,1036,1195
"52","BJ1500","MD_L2_PYR","Will20170830",2.8035346611,841,1000,1036,1195
"53","BJ1502","MD_L2_PYR","Will20170905",1.26373498815,841,1000,1036,1195
"54","BJ1503","MD_L2_PYR","Will20170905",2.62006229094,841,1000,1036,1195
"55","BJ1357","TAIL_SEP_SEP","Will20170607",3.6055996216,863,1000,1027,1164
"56","BJ1358","TAIL_SEP_SEP","Will20170607",2.98180941684,863,1000,1027,1164
"57","BJ1359","TAIL_L5_PYR","Will20170607",0.01840817561,910,1000,1066,1156
"58","BJ1360","TAIL_L5_PYR","Will20170607",0.00964685661999996,910,1000,1066,1156
"59","BJ1361","TAIL_L5_PYR","Will20170607",0.01643598887,910,1000,1066,1156
"60","BJ1362","TAIL_L5_PYR","Will20170607",0.00554353774000001,910,1000,1066,1156
"61","BJ1363","TAIL_L5_PYR","Will20170607",0.00839477867000001,910,1000,1066,1156
"62","BJ1364","TAIL_SEP_SEP","Will20170607",3.68381810137,863,1000,1027,1164
"63","BJ1493b","TAIL_SEP_SEP","Will20170828",0.48133727555,863,1000,1027,1164
"64","BJ1494b","TAIL_SEP_SEP","Will20170828",0.44740266173,863,1000,1027,1164
"65","BJ1495b","TAIL_L5_PYR","Will20170828",0.06707776698,910,1000,1066,1156
"66","BJ1496","TAIL_L5_PYR","Will20170828",0.00429859292,910,1000,1066,1156
"67","BJ1497","TAIL_SEP_SEP","Will20170828",1.900330128,863,1000,1027,1164
"68","BJ1498","TAIL_L5_PYR","Will20170828",0.00597625128000001,910,1000,1066,1156
"69","BJ1521","TAIL_L2_PYR","Will20170921",0.00229695060999996,906,1000,1034,1128
"70","BJ1513","TAIL_L5_PYR","Will20170921",0.14335345902,910,1000,1066,1156
"71","BJ1514","TAIL_L2_PYR","Will20170921",0.0103455575899999,906,1000,1034,1128
"72","BJ1515","TAIL_L2_PYR","Will20170921",0.00309776428999998,906,1000,1034,1128
"73","BJ1516","TAIL_L2_PYR","Will20170921",0.02185691281,906,1000,1034,1128
"74","BJ1518","TAIL_L2_PYR","Will20170921",0.00999912771000003,906,1000,1034,1128
"75","BJ1519","TAIL_SEP_SEP","Will20170921",7.86924789098,863,1000,1027,1164
"76","BJ1520","TAIL_L2_PYR","Will20170926",0.0659839810899999,906,1000,1034,1128
"77","BJ1522","TAIL_L2_PYR","Will20170926",0.01997593853,906,1000,1034,1128
"78","BJ1523","TAIL_L2_PYR","Will20170926",0.000562462409999938,906,1000,1034,1128
"79","BJ1524","TAIL_SEP_SEP","Will20170926",1.28222103403,863,1000,1027,1164
"80","BJ1525","TAIL_SEP_SEP","Will20170926",0.07061927432,863,1000,1027,1164
"81","BJ1526","TAIL_L2_PYR","Will20170926",0.000651471259999988,906,1000,1034,1128
"82","BJ1527","TAIL_L2_PYR","Will20170926",0.02019871703,906,1000,1034,1128
"83","BJ1528","TAIL_L2_PYR","Will20170926",0.0152965180500001,906,1000,1034,1128
"84","BJ1529","TAIL_SEP_SEP","Will20170926",10.80168348833,863,1000,1027,1164
"85","BJ1530","TAIL_SEP_SEP","Will20170926",9.66311222094,863,1000,1027,1164
"86","will160328c013","MD_L2_PYR","AV0113",0.000364637510000005,1682,2000,2071,2389
"87","will160328c016","MD_L2_PYR","AV0113",0.0274233873699999,1682,2000,2071,2389
"88","will160331c002","MD_L5_PYR","Will20160331",NA,NA,NA,NA,NA
"89","will160811c000","MD_L5_PYR","Will20160811",0.00326281193999999,1669,2000,2089,2420
"90","will161212c000","MD_L5_PYR","AV0216",NA,NA,NA,NA,NA
"91","will170208c001","MD_L5_PYR","Will20170208",NA,NA,NA,NA,NA
"92","will170605c000","MD_L5_PYR","Will20170605",0.010934782405,1669,2000,2089,2420
"93","will170605c004","MD_L5_PYR","Will20170605",0.00251455683500012,1669,2000,2089,2420
"94","will170607c001","TAIL_SEP_SEP","Will20170607",0.00147900397000006,1727,2000,2054,2327
"95","will170607c003","TAIL_SEP_SEP","Will20170607",0.000337839944999842,1727,2000,2054,2327
"96","will170607c006","TAIL_DMS_MSN","Will20170607",0.000412664589999941,1956,2000,2031,2076
"97","will170607c008","TAIL_DMS_MSN","Will20170607",0.00193906571499996,1956,2000,2031,2076
"98","will170607c010","TAIL_DMS_MSN","Will20170607",0.000527843625000066,1956,2000,2031,2076
"99","will170607c012","TAIL_DMS_MSN","Will20170607",0.000136767590000014,1956,2000,2031,2076
"100","will170607c014","TAIL_L5_PYR","Will20170607",0.00808221738499995,1820,2000,2132,2312
"101","will170607c016","TAIL_L5_PYR","Will20170607",0.0216133030299998,1820,2000,2132,2312
"102","will170607c017","TAIL_L5_PYR","Will20170607",0.00175474079500011,1820,2000,2132,2312
"103","will170713c000","MD_L5_PYR","Will20170713",NA,NA,NA,NA,NA
"104","will170809c001","MD_L5_PYR","Will20170809",NA,NA,NA,NA,NA
"105","will170817c009","MD_L5_PYR","Will20170817",NA,NA,NA,NA,NA
"106","will170817c013","MD_L2_PYR","Will20170817",NA,NA,NA,NA,NA
"107","will170823c007","MD_L2_PYR","Will20170823",NA,NA,NA,NA,NA
"108","will170828c001","TAIL_SEP_SEP","Will20170828",0.00198553515999993,1727,2000,2054,2327
"109","will170828c002","TAIL_L5_PYR","Will20170828",NA,NA,NA,NA,NA
"110","will170828c003","TAIL_L5_PYR","Will20170828",NA,NA,NA,NA,NA
"111","will170828c004","TAIL_DMS_MSN","Will20170828",0.002843334745,1956,2000,2031,2076
"112","will170828c005","TAIL_DMS_MSN","Will20170828",0.00675803441500003,1956,2000,2031,2076
"113","will170828c006","TAIL_L5_PYR","Will20170828",NA,NA,NA,NA,NA
"114","will170921c002","TAIL_DMS_MSN","Will20170921",0.000362437815000056,1956,2000,2031,2076
"115","will170921c004","TAIL_DMS_MSN","Will20170921",0.00279879573500004,1956,2000,2031,2076
"116","will170921c008","TAIL_DMS_MSN","Will20170921",0.000324703854999996,1956,2000,2031,2076
"117","will170921c009","TAIL_SEP_SEP","Will20170921",0.000676942764999945,1727,2000,2054,2327
"118","will170921c011","TAIL_L2_PYR","Will20170921",0.000372587724999907,1813,2000,2068,2255
"119","will170926c000","TAIL_L2_PYR","Will20170926",0.000852992385000008,1813,2000,2068,2255
"120","will170926c001","TAIL_L2_PYR","Will20170926",0.00405991603499992,1813,2000,2068,2255
"121","will170926c009","TAIL_L2_PYR","Will20170926",0.00342234625,1813,2000,2068,2255
"122","will20150923c2","MD_DMS_MSN","Will20150923",2.18915761355006,14934,15000,15030,15096
"123","will20150923c3009","MD_DMS_MSN","Will20150923",1.94726031234002,14934,15000,15030,15096
"124","will20150923c4010","MD_DMS_MSN","Will20150923",4.23428765374006,14934,15000,15030,15096
"125","will20150205c1","MD_DMS_MSN","Will20150205",NA,NA,NA,NA,NA
"126","will20150205c3","MD_DMS_MSN","Will20150205",NA,NA,NA,NA,NA
"127","will20150209c2","MD_DMS_MSN","Will20150209",NA,NA,NA,NA,NA
"128","will20150216c1","MD_DMS_MSN","Will20150216",NA,NA,NA,NA,NA
"129","will20141227c3","MD_DMS_MSN","Will20141227",NA,NA,NA,NA,NA
"130","will20141229c002","MD_DMS_MSN","Will20141229",NA,NA,NA,NA,NA
"131","will20150612c004","MD_DMS_MSN","Will20150612",NA,NA,NA,NA,NA
"132","will20150714c3010","MD_DMS_MSN","Will20150714",0.770334045860006,4934,5000,5030,5096
"133","will20160111c001","MD_DMS_MSN","Will20160111",1.64841593897999,9868,10000,10059,10191
"134","will20160303c005","MD_DMS_MSN","Will20160303",1.634404536205,9868,10000,10059,10191
"135","will20160303c008","MD_DMS_MSN","Will20160303",0.658663956714999,9868,10000,10059,10191
"136","will20160309c003","MD_DMS_MSN","Will20160309",1.753344170315,9868,10000,10059,10191
"137","will20160309c005","MD_DMS_MSN","Will20160309",2.48681924749499,9868,10000,10059,10191
"138","will20160309c009","MD_DMS_MSN","Will20160309",0.985474434144999,9868,10000,10059,10191
"139","will20160309c013","MD_DMS_MSN","Will20160309",0.777162850304999,9868,10000,10059,10191
"140","will20160812c004","MD_DMS_MSN","Will20160812",0.658414450570001,9934,10000,10030,10096
"141","will20160816c007","MD_DMS_MSN","Will20160816",1.01823771532001,9934,10000,10030,10096
"142","will201027c008","MD_DMS_MSN","Will201027",2.35410435960999,9868,10000,10059,10191
"143","will201117c004","MD_DMS_MSN","Will201117",NA,NA,NA,NA,NA
"144","will201202c010","MD_DMS_MSN","Will201202",1.78453544793999,9868,10000,10059,10191
"145","will20170110c008","MD_DMS_MSN","Will20170110",2.15366184267,9934,10000,10030,10096
"146","will20170228c008","MD_DMS_MSN","Will20170228",2.98306505346499,9868,10000,10059,10191
"147","will20170320c002","MD_DMS_MSN","Will20170320",1.6767133973,9868,10000,10059,10191
"148","will20170525c004","MD_DMS_MSN","Will20170525",1.92591305050999,9868,10000,10059,10191
"149","will20170525c012","MD_DMS_MSN","Will20170525",2.55927038112498,9868,10000,10059,10191
"150","will20170605c008","MD_DMS_MSN","Will20170605",2.80905213229997,9868,10000,10059,10191
"151","will20170823c010","MD_DMS_MSN","Will20170823",1.91590136703499,9868,10000,10059,10191
"152","will20170915c001","MD_DMS_MSN","Will20170915",1.06098313777,9868,10000,10059,10191
"153","will20170918c001","MD_DMS_MSN","Will20170918",1.14394462127499,9868,10000,10059,10191
"154","will20170920c001","MD_DMS_MSN","Will20170920",0.762282978124997,9868,10000,10059,10191
"155","will20170801c004","MD_DMS_MSN","Will20170801",1.057380950165,9868,10000,10059,10191
"156","will20170807c003","MD_DMS_MSN","Will20170807",0.365431563139999,9868,10000,10059,10191
"157","will20170816c005","MD_DMS_MSN","Will20170816",0.435782495414997,9868,10000,10059,10191
"158","will20170816c007","MD_DMS_MSN","Will20170816",0.918080970114995,9868,10000,10059,10191
"159","will20170914c001","MD_DMS_MSN","Will20170914",1.21897163129499,9868,10000,10059,10191
"160","will20170914c003","MD_DMS_MSN","Will20170914",1.68549989545499,9868,10000,10059,10191
"161","will20170914c007","MD_DMS_MSN","Will20170914",1.52336663566499,9868,10000,10059,10191
"162","will20170914c012","MD_DMS_MSN","Will20170914",0.784770386849996,9868,10000,10059,10191
"163","will20171108c006","MD_DMS_MSN","Will20171108",1.029153379575,9868,10000,10059,10191
"164","will20171109c008","MD_DMS_MSN","Will20171109",1.15408765119,9868,10000,10059,10191
"165","will20171113c004","MD_DMS_MSN","Will20171113",0.608282980294998,9868,10000,10059,10191
"166","will20171113c009","MD_DMS_MSN","Will20171113",1.35359450980999,9868,10000,10059,10191
