,cellID,animalID,genoType,cellType,recordLayer,recordRegion,stimSource,stimChannel,circuit,signal,samplerate,parameter,drugGroup,baseName,baseValue,agonistName,agonistValue,antagonistName,antagonistValue,agonistEffect,antagonistEffect,tailRatio
1,171113_003,WB171113,WT,MSN,DMS,STR,MD,CsChR,MD_DMS_MSN,EPSC,10000,amplitude,1,BASE470,-107.495,BASE625,-3.95596,NA,NA,0.03680134,NA,NA
2,171113_006,WB171113,WT,MSN,DMS,STR,MD,CsChR,MD_DMS_MSN,EPSC,10000,amplitude,1,BASE470,-527.458,BASE625,3.29233,NA,NA,-0.006241881,NA,NA
3,161202_002,WB161202,WT,MSN,DMS,STR,MD,CsChR,MD_DMS_MSN,EPSC,10000,amplitude,1,BASE470,-463.663,BASE625,5.21493,NA,NA,-0.011247242,NA,NA
4,161202_005,WB161202,WT,MSN,DMS,STR,MD,CsChR,MD_DMS_MSN,EPSC,10000,amplitude,1,BASE470,-427.231,BASE625,5.25707,NA,NA,-0.012304983,NA,NA
5,161202_009,WB161202,WT,MSN,DMS,STR,MD,CsChR,MD_DMS_MSN,EPSC,10000,amplitude,1,BASE470,-698.514,BASE625,10.6876,NA,NA,-0.015300481,NA,NA
6,171107_001,WB171107,WT,MSN,DMS,STR,MD,ChR2H134R,MD_DMS_MSN,EPSC,10000,amplitude,1,BASE470,-383.593,BASE625,-4.85835,NA,NA,0.012665377,NA,NA
7,171107_004,WB171107,WT,MSN,DMS,STR,MD,ChR2H134R,MD_DMS_MSN,EPSC,10000,amplitude,1,BASE470,-455.806,BASE625,-3.13226,NA,NA,0.006871915,NA,NA
8,171107_014,WB171107,WT,MSN,DMS,STR,MD,ChR2H134R,MD_DMS_MSN,EPSC,10000,amplitude,1,BASE470,-332.892,BASE625,0.747586,NA,NA,-0.002245731,NA,NA
9,171108_005,WB171108,WT,MSN,DMS,STR,MD,ChR2H134R,MD_DMS_MSN,EPSC,10000,amplitude,1,BASE470,-236.778,BASE625,1.02229,NA,NA,-0.004317504,NA,NA
10,_171109_000,WB171109,WT,MSN,DMS,STR,MD,ChR2H134R,MD_DMS_MSN,EPSC,10000,amplitude,1,BASE470,-282.369,BASE625,-1.83576,NA,NA,0.00650128,NA,NA
11,_171109_002,WB171109,WT,MSN,DMS,STR,MD,ChR2H134R,MD_DMS_MSN,EPSC,10000,amplitude,1,BASE470,-388.661,BASE625,4.41763,NA,NA,-0.011366281,NA,NA
12,171114_001,WB171114,WT,MSN,DMS,STR,MD,ChR2H134R,MD_DMS_MSN,EPSC,10000,amplitude,1,BASE470,-1514.39,BASE625,-0.550631,NA,NA,0.000363599,NA,NA
13,171114_004,WB171114,WT,MSN,DMS,STR,MD,ChR2H134R,MD_DMS_MSN,EPSC,10000,amplitude,1,BASE470,-1532.72,BASE625,6.43938,NA,NA,-0.004201276,NA,NA
14,171114_011,WB171114,WT,MSN,DMS,STR,MD,ChR2H134R,MD_DMS_MSN,EPSC,10000,amplitude,1,BASE470,-752.843,BASE625,3.58196,NA,NA,-0.004757911,NA,NA
15,171114_014,WB171114,WT,MSN,DMS,STR,MD,ChR2H134R,MD_DMS_MSN,EPSC,10000,amplitude,1,BASE470,-859.533,BASE625,-7.74792,NA,NA,0.009014104,NA,NA
16,161123_001,WB161123,WT,MSN,DMS,STR,ACC,Chrimson,ACC_DMS_MSN,EPSC,10000,amplitude,1,BASE470,-74.572,BASE625,-1378.61,NA,NA,18.48696562,NA,NA
17,161123_006,WB161123,WT,MSN,DMS,STR,ACC,Chrimson,ACC_DMS_MSN,EPSC,10000,amplitude,1,BASE470,-21.8868,BASE625,-200.339,NA,NA,9.153416671,NA,NA
18,160420_001,WB160420,WT,MSN,DMS,STR,MD,Chrimson,MD_DMS_MSN,EPSC,10000,amplitude,1,BASE470,-3.05343,BASE625,-544.091,NA,NA,178.190101,NA,NA
19,_161219_003,WB161219,WT,MSN,DMS,STR,ACC,Chrimson,ACC_DMS_MSN,EPSC,10000,amplitude,1,BASE470,-8.34457,BASE625,-807.726,NA,NA,96.79659947,NA,NA
20,_160822_005,WB160822,WT,MSN,DMS,STR,MD,Chrimson,MD_DMS_MSN,EPSC,10000,amplitude,1,BASE470,-2.69737,BASE625,-245.184,NA,NA,90.89742972,NA,NA
21,171116_000,WB171116,WT,MSN,DMS,STR,PFC,Chrimson,PFC_DMS_MSN,EPSC,10000,amplitude,1,BASE470,-8.39082,BASE625,-90.3422,NA,NA,10.76679037,NA,NA
22,171116_002,WB171116,WT,MSN,DMS,STR,PFC,Chrimson,PFC_DMS_MSN,EPSC,10000,amplitude,1,BASE470,-13.4532,BASE625,-295.388,NA,NA,21.95670918,NA,NA
23,171116_005,WB171116,WT,MSN,DMS,STR,PFC,Chrimson,PFC_DMS_MSN,EPSC,10000,amplitude,1,BASE470,-2.49005,BASE625,-246.998,NA,NA,99.19399209,NA,NA
24,161219_117,WB161219,WT,MSN,DMS,STR,MD_ACC,ChR2H134R,MD_ACC_MSN,EPSC,10000,amplitude,1,BASEMDDAMGO,-342.917,MDDAMGO,-240.287,MDDAMGOCTAP,-369.09,0.70071475,1.076324592,NA
25,161219_117,WB161219,WT,MSN,DMS,STR,MD_ACC,ChR2H134R,MD_ACC_MSN,EPSC,10000,amplitude,1,BASEMDDPDPE,-369.09,MDDPDPE,-353.266,MDDPDPENTD,-322.548,0.957126988,0.873900675,NA
26,161219_117,WB161219,WT,MSN,DMS,STR,MD_ACC,Chrimson,MD_ACC_MSN,EPSC,10000,amplitude,1,BASEACCDAMGO,-568.19,ACCDAMGO,-583.724,ACCDAMGOCTAP,-557.511,1.027339446,0.981205231,NA
27,161219_117,WB161219,WT,MSN,DMS,STR,MD_ACC,Chrimson,MD_ACC_MSN,EPSC,10000,amplitude,1,BASEACCDPDPE,-557.511,ACCDPDPE,-490.935,ACCDPDPENTD,-464.744,0.880583522,0.833605077,NA
28,161219_117,WB161219,WT,MSN,DMS,STR,MD_ACC,ChR2H134R_Chrimson,MD_ACC_MSN,EPSC,10000,amplitude,1,BASE470,-342.917,BASE625,-568.19,NA,NA,1.656931561,NA,NA
29,161104_005,WB161104,WT,MSN,DMS,STR,MD_ACC,ChR2H134R,MD_ACC_MSN,EPSC,10000,amplitude,1,BASEMDDAMGO,-434.448,MDDAMGO,-105.165,MDDAMGOCTAP,-381.329,0.242065794,0.877732203,NA
30,161104_005,WB161104,WT,MSN,DMS,STR,MD_ACC,ChR2H134R,MD_ACC_MSN,EPSC,10000,amplitude,1,BASEMDDPDPE,-381.329,MDDPDPE,-467.833,MDDPDPENTD,-380.905,1.226848732,0.998888099,NA
