"","cellID","animalID","genoType","cellType","recordLayer","recordRegion","stimSource","stimChannel","circuit","signal","samplerate","parameter","drugGroup","baseName","baseValue","agonistName","agonistValue","antagonistName","antagonistValue","agonistEffect","antagonistEffect","tailRatio"
"1","BJ0490","AV0108","WT","PYR","L2","ACC","MD","CsChR","MD_L2_PYR","EPSC",10000,"onset",1,"BASEENK",3.6,"ENK",3.9,"ENKWASH",3.7,108.333333333333,102.777777777778,1.152620117
"2","BJ0490","AV0108","WT","PYR","L2","ACC","MD","CsChR","MD_L2_PYR","EPSC",10000,"risetime",1,"BASEENK",1,"ENK",1.4,"ENKWASH",1.9,140,190,1.152620117
"3","BJ0490","AV0108","WT","PYR","L2","ACC","MD","CsChR","MD_L2_PYR","EPSC",10000,"slope",1,"BASEENK",-94.5223,"ENK",-35.1713,"ENKWASH",-17.482,37.2095262176227,18.4951064457805,1.152620117
"4","BJ0490","AV0108","WT","PYR","L2","ACC","MD","CsChR","MD_L2_PYR","EPSC",10000,"amplitude",1,"BASEENK",-167.6538,"ENK",-82.6815,"ENKWASH",-57.345,49.3168064189419,34.2044140961911,1.152620117
"5","BJ0490","AV0108","WT","PYR","L2","ACC","MD","CsChR","MD_L2_PYR","EPSC",10000,"onset2peakTime",1,"BASEENK",3.9,"ENK",4.3,"ENKWASH",4.7,110.25641025641,120.512820512821,1.152620117
"6","BJ0490","AV0108","WT","PYR","L2","ACC","MD","CsChR","MD_L2_PYR","EPSC",10000,"halfwidth",1,"BASEENK",13.6,"ENK",14.1,"ENKWASH",14.1,103.676470588235,103.676470588235,1.152620117
"7","BJ0490","AV0108","WT","PYR","L2","ACC","MD","CsChR","MD_L2_PYR","EPSC",10000,"decay",1,"BASEENK",15.8,"ENK",18.1,"ENKWASH",19.6,114.556962025316,124.050632911392,1.152620117
"8","BJ0490","AV0108","WT","PYR","L2","ACC","MD","CsChR","MD_L2_PYR","EPSC",10000,"slope2ms",1,"BASEENK",-13.0722,"ENK",-3.9898,"ENKWASH",-2.9194,30.5212588546687,22.3328896436713,1.152620117
"9","BJ0490","AV0108","WT","PYR","L2","ACC","MD","CsChR","MD_L2_PYR","EPSC",10000,"slope3ms",1,"BASEENK",-13.0722,"ENK",-3.9898,"ENKWASH",-2.9194,30.5212588546687,22.3328896436713,1.152620117
"10","BJ0490","AV0108","WT","PYR","L2","ACC","MD","CsChR","MD_L2_PYR","EPSC",10000,"area",1,"BASEENK",-2667.1717,"ENK",-1392.212,"ENKWASH",-928.4302,52.19806433909,34.8095400082417,1.152620117
"11","BJ0490","AV0108","WT","PYR","L2","ACC","MD","CsChR","MD_L2_PYR","EPSC",10000,"chargeOAmplitude",1,"BASEENK",15.9088055266269,"ENK",16.8382528135073,"ENKWASH",16.1902554712704,105.842344890851,101.769145673271,1.152620117
"12","BJ0490","AV0108","WT","PYR","L2","ACC","MD","CsChR","MD_L2_PYR","IPSC",10000,"onset",1,"BASEENK",1.9,"ENK",4.2,NA,NA,221.052631578947,NA,1.152620117
"13","BJ0490","AV0108","WT","PYR","L2","ACC","MD","CsChR","MD_L2_PYR","IPSC",10000,"risetime",1,"BASEENK",0.6,"ENK",1.9,NA,NA,316.666666666667,NA,1.152620117
"14","BJ0490","AV0108","WT","PYR","L2","ACC","MD","CsChR","MD_L2_PYR","IPSC",10000,"slope",1,"BASEENK",228.1424,"ENK",1e-05,NA,NA,4.38322731767528e-06,NA,1.152620117
"15","BJ0490","AV0108","WT","PYR","L2","ACC","MD","CsChR","MD_L2_PYR","IPSC",10000,"amplitude",1,"BASEENK",136.278,"ENK",1e-05,NA,NA,7.33794156063341e-06,NA,1.152620117
"16","BJ0490","AV0108","WT","PYR","L2","ACC","MD","CsChR","MD_L2_PYR","IPSC",10000,"onset2peakTime",1,"BASEENK",4.8,"ENK",5,NA,NA,104.166666666667,NA,1.152620117
"17","BJ0490","AV0108","WT","PYR","L2","ACC","MD","CsChR","MD_L2_PYR","IPSC",10000,"halfwidth",1,"BASEENK",3.3,"ENK",18,NA,NA,545.454545454545,NA,1.152620117
"18","BJ0490","AV0108","WT","PYR","L2","ACC","MD","CsChR","MD_L2_PYR","IPSC",10000,"decay",1,"BASEENK",4,"ENK",18.5,NA,NA,462.5,NA,1.152620117
"19","BJ0490","AV0108","WT","PYR","L2","ACC","MD","CsChR","MD_L2_PYR","IPSC",10000,"slope2ms",1,"BASEENK",26.9554,"ENK",1e-05,NA,NA,3.70983179622636e-05,NA,1.152620117
"20","BJ0490","AV0108","WT","PYR","L2","ACC","MD","CsChR","MD_L2_PYR","IPSC",10000,"slope3ms",1,"BASEENK",26.9554,"ENK",1e-05,NA,NA,3.70983179622636e-05,NA,1.152620117
"21","BJ0490","AV0108","WT","PYR","L2","ACC","MD","CsChR","MD_L2_PYR","IPSC",10000,"area",1,"BASEENK",111.3989,"ENK",1e-05,NA,NA,8.97674932158217e-06,NA,1.152620117
"22","BJ0490","AV0108","WT","PYR","L2","ACC","MD","CsChR","MD_L2_PYR","IPSC",10000,"chargeOAmplitude",1,"BASEENK",0.817438618118845,"ENK",18.9742221631665,NA,NA,2321.18005469713,NA,1.152620117
"23","BJ0492","AV0108","WT","PYR","L5","ACC","MD","CsChR","MD_L5_PYR","EPSC",10000,"onset",1,"BASEENK",3.2,"ENK",3.2,NA,NA,100,NA,1.152620117
"24","BJ0492","AV0108","WT","PYR","L5","ACC","MD","CsChR","MD_L5_PYR","EPSC",10000,"risetime",1,"BASEENK",2.1,"ENK",1.9,NA,NA,90.4761904761905,NA,1.152620117
"25","BJ0492","AV0108","WT","PYR","L5","ACC","MD","CsChR","MD_L5_PYR","EPSC",10000,"slope",1,"BASEENK",-17.7942,"ENK",-16.3211,NA,NA,91.7214598015084,NA,1.152620117
"26","BJ0492","AV0108","WT","PYR","L5","ACC","MD","CsChR","MD_L5_PYR","EPSC",10000,"amplitude",1,"BASEENK",-59.8859,"ENK",-56.7074,NA,NA,94.6924067267921,NA,1.152620117
"27","BJ0492","AV0108","WT","PYR","L5","ACC","MD","CsChR","MD_L5_PYR","EPSC",10000,"onset2peakTime",1,"BASEENK",3.3,"ENK",3.3,NA,NA,100,NA,1.152620117
"28","BJ0492","AV0108","WT","PYR","L5","ACC","MD","CsChR","MD_L5_PYR","EPSC",10000,"halfwidth",1,"BASEENK",7.5,"ENK",7,NA,NA,93.3333333333333,NA,1.152620117
"29","BJ0492","AV0108","WT","PYR","L5","ACC","MD","CsChR","MD_L5_PYR","EPSC",10000,"decay",1,"BASEENK",10.8,"ENK",8.4,NA,NA,77.7777777777778,NA,1.152620117
"30","BJ0492","AV0108","WT","PYR","L5","ACC","MD","CsChR","MD_L5_PYR","EPSC",10000,"slope2ms",1,"BASEENK",-4.6061,"ENK",-6.228,NA,NA,135.212001476303,NA,1.152620117
"31","BJ0492","AV0108","WT","PYR","L5","ACC","MD","CsChR","MD_L5_PYR","EPSC",10000,"slope3ms",1,"BASEENK",-4.6061,"ENK",-6.228,NA,NA,135.212001476303,NA,1.152620117
"32","BJ0492","AV0108","WT","PYR","L5","ACC","MD","CsChR","MD_L5_PYR","EPSC",10000,"area",1,"BASEENK",-577.5622,"ENK",-453.7869,NA,NA,78.5693558200312,NA,1.152620117
"33","BJ0492","AV0108","WT","PYR","L5","ACC","MD","CsChR","MD_L5_PYR","EPSC",10000,"chargeOAmplitude",1,"BASEENK",9.6443770570368,"ENK",8.00225191068538,NA,NA,82.9732378085189,NA,1.152620117
"34","BJ0492","AV0108","WT","PYR","L5","ACC","MD","CsChR","MD_L5_PYR","IPSC",10000,"onset",1,"BASEENK",4.4,"ENK",3.3,NA,NA,75,NA,1.152620117
"35","BJ0492","AV0108","WT","PYR","L5","ACC","MD","CsChR","MD_L5_PYR","IPSC",10000,"risetime",1,"BASEENK",1,"ENK",1,NA,NA,100,NA,1.152620117
"36","BJ0492","AV0108","WT","PYR","L5","ACC","MD","CsChR","MD_L5_PYR","IPSC",10000,"slope",1,"BASEENK",40.6115,"ENK",1e-05,NA,NA,2.46235672161826e-05,NA,1.152620117
"37","BJ0492","AV0108","WT","PYR","L5","ACC","MD","CsChR","MD_L5_PYR","IPSC",10000,"amplitude",1,"BASEENK",82.3361,"ENK",1e-05,NA,NA,1.2145340865064e-05,NA,1.152620117
"38","BJ0492","AV0108","WT","PYR","L5","ACC","MD","CsChR","MD_L5_PYR","IPSC",10000,"onset2peakTime",1,"BASEENK",1.8,"ENK",2.1,NA,NA,116.666666666667,NA,1.152620117
"39","BJ0492","AV0108","WT","PYR","L5","ACC","MD","CsChR","MD_L5_PYR","IPSC",10000,"halfwidth",1,"BASEENK",4.7,"ENK",2.9,NA,NA,61.7021276595745,NA,1.152620117
"40","BJ0492","AV0108","WT","PYR","L5","ACC","MD","CsChR","MD_L5_PYR","IPSC",10000,"decay",1,"BASEENK",7.2,"ENK",6.5,NA,NA,90.2777777777778,NA,1.152620117
"41","BJ0492","AV0108","WT","PYR","L5","ACC","MD","CsChR","MD_L5_PYR","IPSC",10000,"slope2ms",1,"BASEENK",15.6348,"ENK",1e-05,NA,NA,6.39598843605291e-05,NA,1.152620117
"42","BJ0492","AV0108","WT","PYR","L5","ACC","MD","CsChR","MD_L5_PYR","IPSC",10000,"slope3ms",1,"BASEENK",15.6348,"ENK",1e-05,NA,NA,6.39598843605291e-05,NA,1.152620117
"43","BJ0492","AV0108","WT","PYR","L5","ACC","MD","CsChR","MD_L5_PYR","IPSC",10000,"area",1,"BASEENK",111.9369,"ENK",1e-05,NA,NA,8.9336045575677e-06,NA,1.152620117
"44","BJ0492","AV0108","WT","PYR","L5","ACC","MD","CsChR","MD_L5_PYR","IPSC",10000,"chargeOAmplitude",1,"BASEENK",1.35951180587859,"ENK",5.21124903544108,NA,NA,383.317674249493,NA,1.152620117
"45","BJ0501","AV0107","WT","PYR","L2","ACC","MD","CsChR","MD_L2_PYR","EPSC",10000,"onset",1,"BASEENK",4.1,"ENK",4.3,"ENKNALOX",4.1,104.878048780488,100,0.701672254
"46","BJ0501","AV0107","WT","PYR","L2","ACC","MD","CsChR","MD_L2_PYR","EPSC",10000,"risetime",1,"BASEENK",1.1,"ENK",2.1,"ENKNALOX",1.2,190.909090909091,109.090909090909,0.701672254
"47","BJ0501","AV0107","WT","PYR","L2","ACC","MD","CsChR","MD_L2_PYR","EPSC",10000,"slope",1,"BASEENK",-67.0568,"ENK",-19.1535,"ENKNALOX",-56.3328,28.5630987461376,84.0075875973801,0.701672254
